Español,Inglés,Latín,definición
Registro Civil,Vital Records Office/Bureau,,
,Vernacular,,
,Civil Law,,
,Common Law,,
Escudo,Coat of Arms,,
CRIP,Personal Identification Number,,
Contrayentes,Contracting Parties,,
Esntidad Federativa,State,,
Localidad,Locality/neighbourhood/town,,
Condado,County,,
Contrayente (masc),Groom,,
Contrayente (fem),Bride,,
Municipio,Municipality,,
Distrito/Delegación,Borough,,
Secretaría de Gobernación,Secretariat of Interiro,,
Cónyuge(s),Spouce(s),,
,Supreme Court,,
,CFR (Court of Federal Regulations),,
,Business Law,,
,Criminal Law,,
,Executive Orders,,
,Federal Rules,,
,UCC (Uniform Commercial Code),,
,Burden of proof,,
Constitución Política de los Estados Unidos Mexicanos,,,
Estados Unidos Mexicanos,,,
Manifestación (de),,,
Legislación,,,
Lesgislación estatal,,,
Progresista,,,
Garantista,,,
Derechos Humanos,,,
Jurídica(o),,,
derecho familiar,,,
matrimonio,,,
divorcio,,,
concubinato,,,
adopción,,,
patria potestad,,,
tutela,,,
cónyuge(s),,,
concubino(a)(s),,,
pariente,,,
adoptante,,,
adoptado,,,
Sujeto(a) a,,,
incapaces,,,
alimentos,,,
guarda,,,
custodia,,,
proyecto de vida,,,
común acuerdo,,,
vía administrativa,,,
vía legal,,,
disolución del matrimonio,,,
Paternidad,,,
Maternidad,,,
Garantía,,,
Goce de los derechos,,,
filiación,,,
relaciones paterno filiales,,,
interés superior,,,
familia natural,,,
parentesco,,,
velar,,,
Menor,,,
recaer,,,
imposibilidad,,,
irrenunciable,,,
Supuesto(s),,,
obligación parental,,,
guarda/custodia compartida,,,
progenitor,,,
manutención,,,
representación,,,
igualdad de condiciones,,,
inhabilitar,,,
extinguir,,,
recíproca,,,
inembargable,,,
embargable,,,
intransmisible,,,
deudor,,,
Derecho Civil,,,
concepción,,,
disposición,,,
litigación,,,
arrendamiento,,,
bienes muebles,,,
inmuebles,,,
sucesión,,,
contrato,,,
suscitar,,,
tribunal judicial ,,,
persona física,,,
persona moral,,,
minoría de edad,,,
restricción,,,
contraer,,,
domicilio,,,
estado civil,,,
patrimonio,,,
asociaciones,,,
sociedd civil,,,
sociedad mercantil,,,
derecho mercantil,,,
bienes  ,,,
en virtud de,,,
indemnización,,,
expropiación,,,
utilidad pública,,,
usucapión,,,
apropiación,,,
accesión,,,
posesión,,,
propiedad,,,
propietario,,,
contrato de arrendamiento,,,
buena fe,,,
arrendatario,,,
arrendador,,,
mala fe,,,
herencia ,,,
testamentaria,,,
legítima,,,
sucesión testamentaria,,,
sucesión intestamentaria,,,
acreedor,,,
forma coactiva,,,
vínculo jurídico,,,
prestación,,,
compraventa,,,
cesión de derechos,,,
cesión de deudas,,,
subrogación,,,
validez,,,
nulidad,,,
nominado,,,
subarriendo,,,
comodato,,,
depósito,,,
mandato,,,
prestación de servicios profesionales,,,
obra a precio alzado,,,
hospedaje,,,
asociación civil,,,
aparcería rural,,,
renta vitalicia,,,
compra de esperanza,,,
fianza,,,
prenda,,,
hipoteca,,,
testigo,,,
notario público,,,
celebrar,,,
Registro Público de la Propiedad,,,
contrato de compraventa de bienes inmuebles ,,,
estipulado,,,
parte(s),,,
contratante,,,
regular,,,
regulación,,,
